rectangle_count_bin,method,support_policy,min_support_count,min_support_ratio,min_area_normalized_support,adjacency_support_weight,n,runtime_ms_mean,runtime_ms_std,air_move_distance_mean,air_move_distance_std,travel_mode_cost_mean,travel_mode_cost_std,hard_penalty_mean,stability_penalty_mean,safe_lift_count_mean,detour_count_mean,rectangle_count_mean
000_020,greedy,all_edges,1,0.75,0.0,1.0,18,2.21561800000026,2.175022899740573,1504.8705452836484,2115.9141823367977,1602.0927675058706,2263.8037386481287,0.0,2.0,0.3888888888888889,5.333333333333333,9.833333333333334
000_020,path_distance_local_search,all_edges,1,0.75,0.0,1.0,18,105.58489811111114,72.46095896065563,1493.732430334078,2098.05881248855,1590.9546525563,2246.3664010714842,0.0,2.0,0.3888888888888889,5.333333333333333,9.833333333333334
000_020,process_aware_beam,all_edges,1,0.75,0.0,1.0,18,189.7588727777778,200.1809839320627,2364.989221053289,3407.0812691879337,2434.4336654977337,3516.7980967159883,0.0,0.0,0.2777777777777778,4.888888888888889,9.833333333333334
000_020,topology,all_edges,1,0.75,0.0,1.0,18,4.361277722222287,3.8870207707624242,1646.411715657535,2191.7340180864185,1743.6339378797575,2334.300887261862,0.0,2.4444444444444446,0.3888888888888889,7.944444444444445,9.833333333333334
000_020,topology_local_search,all_edges,1,0.75,0.0,1.0,18,59.73758338888929,66.96286499896532,2513.373079310862,3425.1948820252983,2638.373079310862,3595.9307565153617,0.0,1.7777777777777777,0.5,8.5,9.833333333333334
000_020,topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,18,142.14366433333305,100.65428059813526,3045.3367184272347,4467.836358001328,3100.8922739827904,4574.109251408032,0.0,0.0,0.2222222222222222,8.11111111111111,9.833333333333334
000_020,topology_process_aware,all_edges,1,0.75,0.0,1.0,18,57.24671994444411,65.65475736700995,3041.324905284241,4459.106474278528,3110.7693497286855,4586.122280200336,0.0,0.0,0.2777777777777778,9.5,9.833333333333334
021_050,greedy,all_edges,1,0.75,0.0,1.0,9,11.323314666666226,4.145208689023785,6185.796350535102,997.4177814934875,6463.57412831288,949.0469098141418,0.0,4.777777777777778,1.1111111111111112,28.22222222222222,26.11111111111111
021_050,path_distance_local_search,all_edges,1,0.75,0.0,1.0,9,310.7947406666664,74.06052650978594,6185.796350535102,997.4177814934875,6463.57412831288,949.0469098141418,0.0,4.777777777777778,1.1111111111111112,28.22222222222222,26.11111111111111
021_050,process_aware_beam,all_edges,1,0.75,0.0,1.0,9,929.3468797777768,411.4598892268757,10203.458565201714,1298.2724208683585,10342.347454090605,1376.0295233667764,0.0,0.0,0.5555555555555556,36.333333333333336,26.11111111111111
021_050,topology,all_edges,1,0.75,0.0,1.0,9,22.182453777777745,11.16993627897403,6409.35899551238,1433.9887608023614,6687.136773290157,1358.5066031956173,0.0,6.333333333333333,1.1111111111111112,41.888888888888886,26.11111111111111
021_050,topology_local_search,all_edges,1,0.75,0.0,1.0,9,367.1673058888896,172.63972047287248,8075.525274848212,1681.489778261316,8464.4141637371,1786.6781211226028,0.0,5.666666666666667,1.5555555555555556,43.22222222222222,26.11111111111111
021_050,topology_local_search_process_aware,all_edges,1,0.75,0.0,1.0,9,457.8352221111111,158.04028027592906,11443.548586159955,1374.8995311581782,11693.548586159955,1376.9097203245105,0.0,0.0,1,34.44444444444444,26.11111111111111
021_050,topology_process_aware,all_edges,1,0.75,0.0,1.0,9,517.0780325555551,340.22194180007426,11443.548586159955,1374.8995311581782,11693.548586159955,1376.9097203245105,0.0,0.0,1,34.44444444444444,26.11111111111111
