scenario,size,method,repeat,runtime_ms,rectangle_count,candidate_unit_count,selected_unit_count,action_count,air_move_distance,cutting_length,pierce_count,lift_count,stability_penalty,hard_penalty
clustered,10,greedy,0,0.7480840000000031,10,73,29,54,622.9182184087697,1956.9330237798692,26,26,8.0,4.0
clustered,10,topology,0,2.405334000000002,10,73,29,54,1010.8744528032332,1956.9330237798688,26,26,9.0,8.0
clustered,10,topology_local_search,0,33.140874999999994,10,73,29,54,1377.0468852252689,1956.9330237798688,26,26,8.0,8.0
clustered,50,greedy,0,5.777332999999995,50,410,127,249,3262.1932459152645,7010.047318225219,122,123,43.0,16.0
clustered,50,topology,0,35.090999999999994,50,410,127,249,4038.9440078920707,7010.047318225217,122,122,50.0,20.0
clustered,50,topology_local_search,0,123.14699999999999,50,410,127,249,4228.356007979419,7010.047318225217,122,122,50.0,19.0
clustered,100,greedy,0,17.885708,100,839,249,491,5204.493964783249,11876.249314080726,239,243,83.0,28.0
clustered,100,topology,0,84.39799999999997,100,839,249,492,7754.400102723457,11876.249314080733,244,244,99.0,36.0
clustered,100,topology_local_search,0,111.62258400000002,100,839,249,492,7874.8951745549175,11876.249314080733,243,243,99.0,36.0
clustered,200,greedy,0,58.721208000000026,200,1700,481,954,10132.90199906489,21563.558816481825,467,474,177.0,51.0
clustered,200,topology,0,217.3207909999999,200,1700,481,953,11082.38919036488,21563.558816481847,470,472,196.0,55.0
clustered,200,topology_local_search,0,313.87045800000016,200,1700,481,953,11199.615140143575,21563.558816481847,469,472,196.0,55.0
clustered,500,greedy,0,351.48154199999993,500,4308,1199,2388,24434.655117929356,55380.6478739976,1166,1190,456.0,104.0
clustered,500,topology,0,815.1647909999997,500,4308,1199,2389,30678.156067947362,55380.64787399754,1186,1191,504.0,126.0
clustered,500,topology_local_search,0,1344.147708,500,4308,1199,2389,30841.907218202927,55380.64787399754,1186,1191,504.0,125.0
