variant,scenario,size,method,repeats,runtime_ms_mean,air_move_distance_mean,stability_penalty_mean,hard_penalty_mean,candidate_unit_count_mean,selected_unit_count_mean,action_count_mean
fast,clustered,10,greedy,1,0.7480840000000031,622.9182184087697,8.0,4.0,73.0,29.0,54.0
fast,clustered,10,topology,1,2.405334000000002,1010.8744528032332,9.0,8.0,73.0,29.0,54.0
fast,clustered,10,topology_local_search,1,33.140874999999994,1377.0468852252689,8.0,8.0,73.0,29.0,54.0
fast,clustered,50,greedy,1,5.777332999999995,3262.1932459152645,43.0,16.0,410.0,127.0,249.0
fast,clustered,50,topology,1,35.090999999999994,4038.9440078920707,50.0,20.0,410.0,127.0,249.0
fast,clustered,50,topology_local_search,1,123.14699999999999,4228.356007979419,50.0,19.0,410.0,127.0,249.0
fast,clustered,100,greedy,1,17.885708,5204.493964783249,83.0,28.0,839.0,249.0,491.0
fast,clustered,100,topology,1,84.39799999999997,7754.400102723457,99.0,36.0,839.0,249.0,492.0
fast,clustered,100,topology_local_search,1,111.62258400000002,7874.8951745549175,99.0,36.0,839.0,249.0,492.0
fast,clustered,200,greedy,1,58.721208000000026,10132.90199906489,177.0,51.0,1700.0,481.0,954.0
fast,clustered,200,topology,1,217.3207909999999,11082.38919036488,196.0,55.0,1700.0,481.0,953.0
fast,clustered,200,topology_local_search,1,313.87045800000016,11199.615140143575,196.0,55.0,1700.0,481.0,953.0
fast,clustered,500,greedy,1,351.48154199999993,24434.655117929356,456.0,104.0,4308.0,1199.0,2388.0
fast,clustered,500,topology,1,815.1647909999997,30678.156067947362,504.0,126.0,4308.0,1199.0,2389.0
fast,clustered,500,topology_local_search,1,1344.147708,30841.907218202927,504.0,125.0,4308.0,1199.0,2389.0
fast,grid,10,greedy,1,0.8942080000000006,919.4174618345471,6.0,9.0,40.0,40.0,50.0
fast,grid,10,topology,1,3.9491670000000036,961.4627960939315,6.0,9.0,40.0,40.0,50.0
fast,grid,10,topology_local_search,1,13.671707999999997,1379.88711661785,5.0,9.0,40.0,40.0,53.0
fast,grid,50,greedy,1,10.498916999999997,4532.9238339830445,24.0,49.0,200.0,200.0,250.0
fast,grid,50,topology,1,73.83791599999999,5140.464953497136,31.0,49.0,200.0,200.0,250.0
fast,grid,50,topology_local_search,1,236.312833,5756.913728296962,29.0,49.0,200.0,200.0,255.0
fast,grid,100,greedy,1,36.87062499999999,10964.299563168788,58.0,99.0,400.0,400.0,500.0
fast,grid,100,topology,1,155.59991699999998,11481.729974285809,70.0,99.0,400.0,400.0,500.0
fast,grid,100,topology_local_search,1,217.45091699999998,11660.428935912534,69.0,99.0,400.0,400.0,502.0
fast,grid,200,greedy,1,140.42408299999997,20536.022925327597,131.0,199.0,800.0,800.0,1000.0
fast,grid,200,topology,1,448.85054199999996,20816.254263461902,152.0,199.0,800.0,800.0,1000.0
fast,grid,200,topology_local_search,1,594.496167,20965.46950790173,151.0,199.0,800.0,800.0,1002.0
fast,grid,500,greedy,1,837.821333,47204.940034757514,283.0,499.0,2000.0,2000.0,2500.0
fast,grid,500,topology,1,1795.1989579999995,52289.40859141649,366.0,499.0,2000.0,2000.0,2500.0
fast,grid,500,topology_local_search,1,2312.1011249999997,52416.282511664496,365.0,499.0,2000.0,2000.0,2502.0
process_aware,clustered,10,greedy,1,0.7812499999999972,622.9182184087697,8.0,4.0,73.0,29.0,54.0
process_aware,clustered,10,topology,1,15.356415999999998,1492.5133511500997,0.0,4.0,73.0,29.0,56.0
process_aware,clustered,10,topology_local_search,1,21.145417,1666.8883970457478,0.0,4.0,73.0,29.0,56.0
process_aware,clustered,20,greedy,1,1.4593749999999988,1320.3608409602143,18.0,9.0,154.0,54.0,103.0
process_aware,clustered,20,topology,1,49.01441599999999,2445.1304890965425,0.0,6.0,154.0,54.0,104.0
process_aware,clustered,20,topology_local_search,1,158.546833,2675.694365415539,1.0,5.0,154.0,54.0,104.0
process_aware,clustered,50,greedy,1,5.492041999999975,3262.1932459152645,43.0,16.0,410.0,127.0,249.0
process_aware,clustered,50,topology,1,282.8156670000001,6867.379560264406,0.0,12.0,410.0,127.0,250.0
process_aware,clustered,50,topology_local_search,1,572.725459,6867.379560264406,0.0,12.0,410.0,127.0,250.0
